iter	Passed	Remaining
211	5319	19771
212	5345	19751
213	5372	19732
214	5398	19711
215	5429	19705
216	5456	19690
217	5463	19600
218	5482	19551
219	5509	19532
220	5535	19511
221	5562	19494
222	5591	19483
223	5619	19467
224	5649	19459
225	5678	19446
226	5685	19360
227	5714	19347
228	5742	19333
229	5770	19319
230	5799	19304
231	5810	19235
232	5838	19217
233	5866	19205
234	5895	19192
235	5907	19125
236	5935	19107
237	5954	19064
238	5982	19048
239	5997	18993
240	6004	18911
241	6031	18891
242	6056	18867
243	6084	18850
244	6111	18833
245	6139	18818
246	6167	18801
247	6195	18786
248	6224	18772
249	6236	18708
250	6263	18690
251	6292	18676
252	6320	18660
253	6347	18643
254	6362	18589
255	6388	18566
256	6413	18542
257	6440	18523
258	6466	18500
259	6491	18475
260	6502	18410
261	6527	18385
262	6552	18362
263	6578	18339
264	6604	18317
265	6630	18294
266	6656	18273
267	6682	18251
268	6708	18230
269	6734	18207
270	6741	18134
271	6767	18112
272	6794	18092
273	6820	18071
274	6846	18049
275	6881	18052
276	6920	18063
277	6955	18064
278	6981	18042
279	6996	17990
280	7021	17965
281	7046	17942
282	7053	17871
283	7082	17856
284	7109	17834
285	7135	17812
286	7160	17789
287	7186	17765
288	7212	17744
289	7219	17674
290	7245	17652
291	7271	17630
292	7296	17607
293	7324	17588
294	7350	17566
295	7376	17544
296	7402	17521
297	7428	17498
298	7443	17450
299	7468	17427
300	7495	17407
301	7525	17393
302	7565	17403
303	7606	17415
304	7645	17421
305	7673	17402
306	7698	17377
307	7709	17322
308	7735	17297
309	7761	17274
310	7787	17253
311	7813	17230
312	7839	17207
313	7865	17184
314	7894	17166
315	7920	17144
316	7947	17123
317	7973	17099
318	7998	17075
319	8030	17063
320	8061	17052
321	8091	17037
322	8120	17019
323	8148	17000
324	8176	16982
325	8205	16964
326	8233	16945
327	8261	16925
328	8291	16910
329	8321	16894
330	8349	16875
331	8378	16857
332	8407	16841
333	8436	16821
334	8466	16805
335	8498	16794
336	8528	16777
337	8540	16727
338	8568	16706
339	8595	16685
340	8624	16666
341	8653	16648
342	8681	16629
343	8710	16610
344	8738	16590
345	8767	16571
346	8795	16552
347	8824	16534
348	8851	16510
349	8914	16554
350	8945	16539
351	8972	16517
352	8998	16493
353	9025	16470
354	9051	16446
355	9079	16425
356	9106	16401
357	9134	16380
358	9160	16356
359	9186	16331
360	9213	16307
361	9239	16284
362	9266	16261
363	9293	16237
364	9319	16214
365	9347	16192
366	9374	16168
367	9400	16144
368	9427	16120
369	9453	16097
370	9484	16080
371	9511	16056
372	9537	16032
373	9564	16008
374	9591	15985
375	9617	15960
376	9643	15936
377	9670	15912
378	9697	15889
379	9723	15865
380	9750	15840
381	9777	15817
382	9803	15793
383	9830	15769
384	9856	15745
385	9884	15722
386	9911	15699
387	9937	15675
388	9964	15651
389	9991	15627
390	10018	15603
391	10044	15579
392	10070	15554
393	10097	15530
394	10124	15506
395	10151	15483
396	10178	15459
397	10204	15434
398	10231	15410
399	10257	15385
400	10284	15361
401	10314	15342
402	10346	15327
403	10375	15307
404	10405	15287
405	10434	15266
406	10460	15241
407	10488	15217
408	10514	15193
409	10540	15168
410	10566	15143
411	10592	15117
412	10620	15094
413	10646	15069
414	10674	15046
415	10700	15022
416	10727	14997
417	10753	14973
418	10780	14948
419	10807	14924
420	10839	14908
421	10869	14887
422	10898	14866
423	10927	14844
424	10956	14824
425	10986	14802
426	11014	14780
427	11042	14757
428	11071	14736
429	11099	14713
430	11128	14691
431	11156	14669
432	11185	14646
433	11213	14624
434	11241	14601
435	11270	14579
436	11298	14556
437	11326	14532
438	11354	14509
439	11383	14488
440	11411	14464
441	11439	14441
442	11467	14418
443	11495	14395
444	11523	14372
445	11552	14350
446	11581	14327
447	11610	14305
448	11637	14281
449	11663	14255
450	11689	14229
451	11715	14203
452	11741	14178
453	11767	14152
454	11793	14126
455	11820	14101
456	11846	14075
457	11872	14050
458	11899	14024
459	11925	13999
460	11951	13973
461	11977	13947
462	12003	13921
463	12028	13895
464	12055	13870
465	12081	13844
466	12106	13817
467	12132	13791
468	12158	13765
469	12186	13742
470	12212	13716
471	12238	13690
472	12266	13667
473	12293	13642
474	12319	13616
475	12346	13591
476	12371	13564
477	12397	13539
478	12423	13513
479	12449	13487
480	12475	13461
481	12501	13435
482	12527	13409
483	12553	13383
484	12579	13357
485	12605	13332
486	12633	13308
487	12659	13282
488	12686	13257
489	12712	13231
490	12738	13205
491	12764	13180
492	12790	13154
493	12816	13128
494	12843	13102
495	12869	13076
496	12894	13050
497	12920	13024
498	12946	12997
499	12971	12971
500	13001	12949
501	13032	12928
502	13063	12907
503	13093	12885
504	13124	12864
505	13152	12840
506	13179	12815
507	13205	12789
508	13232	12764
509	13258	12738
510	13285	12713
511	13312	12688
512	13338	12662
513	13364	12636
514	13390	12610
515	13417	12584
516	13443	12559
517	13471	12535
518	13501	12512
519	13539	12497
520	13570	12476
521	13599	12453
522	13629	12430
523	13657	12406
524	13686	12383
525	13715	12359
526	13743	12335
527	13771	12310
528	13799	12286
529	13828	12262
530	13858	12240
531	13886	12216
532	13916	12193
533	13944	12168
534	13972	12144
535	14001	12121
536	14031	12097
537	14059	12073
538	14088	12049
539	14117	12026
540	14147	12002
541	14175	11978
542	14202	11953
543	14231	11929
544	14259	11905
545	14288	11880
546	14317	11856
547	14344	11831
548	14371	11806
549	14397	11779
550	14423	11753
551	14448	11726
552	14474	11700
553	14500	11673
554	14525	11646
555	14551	11620
556	14577	11594
557	14603	11567
558	14629	11541
559	14655	11514
560	14681	11489
561	14708	11463
562	14734	11436
563	14759	11410
564	14785	11383
565	14812	11357
566	14837	11331
567	14864	11305
568	14889	11278
569	14915	11252
570	14941	11226
571	14967	11199
572	14993	11173
573	15019	11146
574	15045	11120
575	15072	11095
576	15099	11069
577	15125	11043
578	15151	11016
579	15176	10990
580	15203	10964
581	15229	10938
582	15255	10911
583	15280	10884
584	15306	10858
585	15332	10832
586	15358	10805
587	15384	10779
588	15410	10753
589	15435	10726
590	15463	10701
591	15489	10675
592	15515	10649
593	15542	10623
594	15568	10596
595	15594	10571
596	15621	10545
597	15647	10519
598	15673	10492
599	15698	10465
600	15724	10439
601	15756	10417
602	15786	10393
603	15815	10369
604	15845	10345
605	15873	10320
606	15900	10294
607	15925	10268
608	15951	10241
609	15978	10215
610	16004	10189
611	16030	10162
612	16055	10136
613	16081	10109
614	16107	10083
615	16133	10057
616	16161	10031
617	16186	10005
618	16212	9978
619	16239	9953
620	16272	9931
621	16302	9907
622	16333	9883
623	16361	9858
624	16390	9834
625	16419	9809
626	16448	9785
627	16477	9760
628	16505	9735
629	16534	9710
630	16562	9685
631	16589	9659
632	16618	9635
633	16648	9610
634	16677	9586
635	16704	9560
636	16732	9535
637	16761	9510
638	16788	9484
639	16816	9459
640	16844	9434
641	16872	9408
642	16901	9383
643	16930	9358
644	16960	9334
645	16988	9309
646	17017	9284
647	17046	9259
648	17073	9233
649	17099	9207
650	17125	9181
651	17151	9154
652	17177	9127
653	17203	9101
654	17229	9075
655	17255	9048
656	17281	9022
657	17307	8995
658	17333	8969
659	17358	8942
660	17384	8915
661	17410	8889
662	17435	8862
663	17464	8837
664	17491	8811
665	17517	8784
666	17542	8758
667	17568	8731
668	17595	8705
669	17621	8679
670	17646	8652
671	17672	8625
672	17698	8599
673	17724	8572
674	17750	8546
675	17776	8520
676	17802	8493
677	17828	8467
678	17856	8441
679	17882	8415
680	17908	8388
681	17934	8362
682	17960	8335
683	17986	8309
684	18012	8283
685	18038	8256
686	18064	8230
687	18090	8203
688	18116	8177
689	18142	8150
690	18168	8124
691	18193	8097
692	18219	8071
693	18246	8045
694	18272	8019
695	18299	7992
696	18327	7967
697	18356	7942
698	18385	7916
699	18413	7891
700	18440	7865
701	18472	7841
702	18509	7819
703	18542	7796
704	18573	7772
705	18605	7747
706	18634	7722
707	18662	7696
708	18690	7671
709	18718	7645
710	18745	7619
711	18773	7593
712	18799	7567
713	18828	7542
714	18856	7516
715	18884	7490
716	18914	7465
717	18949	7442
718	18982	7418
719	19013	7394
720	19044	7369
721	19072	7343
722	19101	7318
723	19131	7293
724	19159	7267
725	19188	7241
726	19216	7216
727	19246	7191
728	19275	7165
729	19304	7140
730	19333	7114
731	19364	7089
732	19395	7065
733	19427	7040
734	19459	7015
735	19490	6991
736	19520	6965
737	19550	6940
738	19581	6915
739	19612	6890
740	19642	6865
741	19672	6840
742	19700	6814
743	19730	6789
744	19757	6762
745	19784	6736
746	19810	6709
747	19839	6683
748	19866	6657
749	19892	6630
750	19918	6604
751	19945	6577
752	19971	6551
753	19998	6524
754	20024	6498
755	20051	6471
756	20076	6444
757	20102	6418
758	20130	6392
759	20157	6365
760	20183	6338
761	20210	6312
762	20236	6285
763	20264	6259
764	20293	6233
765	20319	6207
766	20346	6180
767	20372	6154
768	20399	6127
769	20425	6101
770	20452	6074
771	20478	6048
772	20504	6021
773	20530	5994
774	20556	5967
775	20583	5941
776	20608	5914
777	20634	5888
778	20661	5861
779	20687	5835
780	20713	5808
781	20739	5781
782	20766	5755
783	20792	5728
784	20818	5701
785	20844	5675
786	20869	5648
787	20895	5621
788	20922	5595
789	20947	5568
790	20973	5541
791	20999	5515
792	21025	5488
793	21051	5461
794	21078	5435
795	21104	5408
796	21129	5381
797	21155	5355
798	21181	5328
799	21207	5301
800	21233	5275
801	21262	5249
802	21291	5223
803	21320	5197
804	21345	5170
805	21375	5144
806	21401	5118
807	21426	5091
808	21453	5064
809	21478	5038
810	21504	5011
811	21531	4985
812	21558	4958
813	21584	4932
814	21611	4905
815	21637	4879
816	21662	4852
817	21688	4825
818	21714	4798
819	21740	4772
820	21766	4745
821	21792	4719
822	21817	4692
823	21843	4665
824	21870	4639
825	21896	4612
826	21921	4585
827	21947	4559
828	21973	4532
829	22000	4506
830	22026	4479
831	22053	4453
832	22079	4426
833	22105	4399
834	22131	4373
835	22157	4346
836	22183	4320
837	22209	4293
838	22235	4266
839	22262	4240
840	22289	4213
841	22315	4187
842	22341	4160
843	22368	4134
844	22393	4107
845	22419	4081
846	22445	4054
847	22471	4027
848	22497	4001
849	22522	3974
850	22548	3948
851	22575	3921
852	22601	3894
853	22627	3868
854	22652	3841
855	22679	3815
856	22705	3788
857	22731	3762
858	22756	3735
859	22782	3708
860	22809	3682
861	22835	3655
862	22862	3629
863	22888	3602
864	22914	3576
865	22940	3549
866	22967	3523
867	22994	3496
868	23020	3470
869	23046	3443
870	23072	3417
871	23099	3390
872	23125	3364
873	23151	3337
874	23177	3311
875	23204	3284
876	23230	3258
877	23256	3231
878	23282	3204
879	23308	3178
880	23335	3151
881	23361	3125
882	23388	3099
883	23416	3072
884	23444	3046
885	23472	3020
886	23497	2993
887	23525	2967
888	23555	2941
889	23583	2914
890	23609	2888
891	23635	2861
892	23662	2835
893	23687	2808
894	23713	2782
895	23739	2755
896	23765	2728
897	23792	2702
898	23818	2675
899	23844	2649
900	23871	2622
901	23899	2596
902	23927	2570
903	23955	2543
904	23981	2517
905	24007	2490
906	24033	2464
907	24059	2437
908	24085	2411
909	24111	2384
910	24137	2358
911	24163	2331
912	24189	2305
913	24215	2278
914	24241	2251
915	24268	2225
916	24294	2198
917	24322	2172
918	24349	2146
919	24375	2119
920	24400	2093
921	24426	2066
922	24452	2039
923	24477	2013
924	24503	1986
925	24528	1960
926	24553	1933
927	24580	1907
928	24606	1880
929	24631	1854
930	24658	1827
931	24686	1801
932	24722	1775
933	24749	1748
934	24777	1722
935	24804	1696
936	24832	1669
937	24859	1643
938	24887	1616
939	24914	1590
940	24943	1563
941	24970	1537
942	24997	1510
943	25023	1484
944	25051	1458
945	25077	1431
946	25104	1405
947	25130	1378
948	25157	1351
949	25183	1325
950	25210	1298
951	25236	1272
952	25262	1245
953	25288	1219
954	25313	1192
955	25339	1166
956	25365	1139
957	25390	1113
958	25416	1086
959	25444	1060
960	25470	1033
961	25495	1007
962	25521	980
963	25547	954
964	25573	927
965	25600	901
966	25626	874
967	25652	848
968	25678	821
969	25704	794
970	25730	768
971	25756	741
972	25782	715
973	25809	688
974	25837	662
975	25864	636
976	25889	609
977	25916	582
978	25943	556
979	25969	529
980	25995	503
981	26021	476
982	26048	450
983	26074	423
984	26100	397
985	26125	370
986	26151	344
987	26177	317
988	26202	291
989	26228	264
990	26254	238
991	26281	211
992	26309	185
993	26335	158
994	26361	132
995	26387	105
996	26413	79
997	26439	52
998	26466	26
999	26492	0
