iter	Logloss
151	0.6150699082
152	0.6149037752
153	0.6145188398
154	0.6138794986
155	0.6135746473
156	0.6133359338
157	0.6132126118
158	0.6132045438
159	0.6129724114
160	0.6128865741
161	0.6124056529
162	0.6120694304
163	0.6117235889
164	0.6117188194
165	0.6114658246
166	0.6110318012
167	0.6107709494
168	0.6104909538
169	0.6102800215
170	0.6100208442
171	0.6090136254
172	0.6078561751
173	0.6072253505
174	0.6066541561
175	0.6064726274
176	0.6064669263
177	0.6062314082
178	0.6054628798
179	0.6050402073
180	0.6049237605
181	0.6041355409
182	0.60389993
183	0.6030364229
184	0.6028494961
185	0.6028111611
186	0.6026839468
187	0.6023209872
188	0.6019804019
189	0.6019803943
190	0.6012890656
191	0.6012890561
192	0.6007903983
193	0.6002044025
194	0.6002043886
195	0.6002043878
196	0.5999981317
197	0.5999905825
198	0.5999905634
199	0.5990074788
200	0.5986354457
201	0.598216012
202	0.5976998097
203	0.5975483618
204	0.5975035375
205	0.5974795853
206	0.5974197623
207	0.59729201
208	0.5968578867
209	0.5966662646
210	0.5966174935
211	0.5960102933
212	0.5947997679
213	0.5944071357
214	0.5939804465
215	0.5934423675
216	0.592813394
217	0.5928133932
218	0.5927648957
219	0.5923195477
220	0.5919243522
221	0.5916809119
222	0.5912506138
223	0.5903243918
224	0.5902050055
225	0.5898501039
226	0.589850096
227	0.5894252894
228	0.5888028546
229	0.5884460113
230	0.5881791482
231	0.588178803
232	0.5873571102
233	0.5867940873
234	0.5862218805
235	0.5862207432
236	0.5855298757
237	0.5854597992
238	0.5850265895
239	0.5849226188
240	0.5849225899
241	0.5847885945
242	0.5845728567
243	0.5838135222
244	0.5835266422
245	0.5827520525
246	0.5825516649
247	0.5816221346
248	0.5809173221
249	0.5809043123
250	0.5804053876
251	0.5798059504
252	0.5793512329
253	0.5792044126
254	0.5791650425
255	0.5783907305
256	0.5777310859
257	0.5773769697
258	0.5767713404
259	0.5765222037
260	0.576510667
261	0.5759529558
262	0.5754896591
263	0.5746208181
264	0.5740462527
265	0.5736906921
266	0.5732201229
267	0.5726705609
268	0.5722360942
269	0.5715966562
270	0.5715966183
271	0.5712798826
272	0.5706138307
273	0.5702651195
274	0.5696603832
275	0.5692492687
276	0.5688880137
277	0.5680949108
278	0.5676537423
279	0.5675760467
280	0.5671850849
281	0.5669191961
282	0.5669191931
283	0.5667988364
284	0.5662623433
285	0.565794272
286	0.5655042799
287	0.5648023008
288	0.5643708334
289	0.5643707944
290	0.5633848266
291	0.5627944034
292	0.5621148526
293	0.5609774728
294	0.5605278425
295	0.5598250868
296	0.5593828949
297	0.5586519844
298	0.5585302477
299	0.5579627828
300	0.5575634709
301	0.55705759
302	0.5561693558
303	0.5558751124
304	0.5552464116
305	0.5548098012
306	0.5547058011
307	0.5547038056
308	0.5539692946
309	0.5531151244
310	0.5522198103
311	0.5514646602
312	0.5508045958
313	0.5505395115
314	0.5498712169
315	0.5491709827
316	0.5483560163
317	0.5476513916
318	0.5466973031
319	0.5460085699
320	0.545156589
321	0.5440711033
322	0.5435448075
323	0.5427128179
324	0.5421323373
325	0.5415624413
326	0.5407539848
327	0.5405427721
328	0.5401843254
329	0.5389362732
330	0.538433822
331	0.5378667729
332	0.5371412066
333	0.5363292378
334	0.5358778283
335	0.5353379599
336	0.5347083652
337	0.5346860848
338	0.5336504086
339	0.5331885892
340	0.532391911
341	0.5313952298
342	0.5305663214
343	0.5298570035
344	0.529462015
345	0.5289027621
346	0.5282751738
347	0.5276879888
348	0.5270602194
349	0.5267252737
350	0.5265947107
351	0.5261873881
352	0.5258064557
353	0.5252629551
354	0.5244786918
355	0.5236937942
356	0.5228630784
357	0.52223086
358	0.5215401092
359	0.5208585612
360	0.52008245
361	0.519525105
362	0.5189907347
363	0.5183071428
364	0.5176373957
365	0.517003225
366	0.5162365787
367	0.516044956
368	0.515621794
369	0.5151309909
370	0.5143551483
371	0.5137821469
372	0.5131369863
373	0.5127823112
374	0.512587633
375	0.5117053331
376	0.5112719623
377	0.5105775912
378	0.5099295577
379	0.5094837545
380	0.508732621
381	0.5078033459
382	0.5072185784
383	0.5067866512
384	0.5060883956
385	0.5055939437
386	0.505092748
387	0.5044958075
388	0.5038427346
389	0.503100807
390	0.502479834
391	0.502035459
392	0.5015586027
393	0.501130744
394	0.5003486391
395	0.4999477942
396	0.4993421201
397	0.4988032109
398	0.4982308523
399	0.4976009128
400	0.4968777746
401	0.4961870016
402	0.4955508199
403	0.4947545037
404	0.4942449384
405	0.4934206795
406	0.4925877212
407	0.4918655209
408	0.4912714615
409	0.490734063
410	0.4902944484
411	0.4898400044
412	0.4889749284
413	0.488305633
414	0.4877720856
415	0.4874056703
416	0.4865655815
417	0.4858696321
418	0.4853517272
419	0.4849544681
420	0.483925788
421	0.48343695
422	0.4828918212
423	0.4820484211
424	0.4811037856
425	0.4805074655
426	0.4801453547
427	0.4796871203
428	0.4789398959
429	0.4784096162
430	0.4778561343
431	0.4772558459
432	0.4764699662
433	0.4759647794
434	0.4752144067
435	0.4746881791
436	0.4741755395
437	0.4737334185
438	0.4736318155
439	0.4734136109
440	0.4725652878
441	0.4717262819
442	0.4712818035
443	0.4705419291
444	0.4699993278
445	0.4691499107
446	0.4686626385
447	0.4679478502
448	0.4672516749
449	0.4668446336
450	0.4665359996
451	0.4661139139
452	0.4656512457
453	0.4652996696
454	0.4647270887
455	0.4640031415
456	0.4634801877
457	0.4627829867
458	0.4618507651
459	0.4611397101
460	0.4606308903
461	0.4601258706
462	0.4595828136
463	0.4593735424
464	0.4591616338
465	0.4589722554
466	0.4585171748
467	0.4578469143
468	0.4573469796
469	0.4566180372
470	0.4560325042
471	0.4554875581
472	0.4549699663
473	0.4548448042
474	0.4546333486
475	0.4542343433
476	0.4541395341
477	0.4535289279
478	0.4534359632
479	0.4529761765
480	0.4525317765
481	0.4521895488
482	0.4516587712
483	0.4512405636
484	0.4507898137
485	0.4501602925
486	0.4499552899
487	0.4492898079
488	0.4487444468
489	0.4479608953
490	0.4473669717
491	0.4466631627
492	0.4461216749
493	0.4453452207
494	0.4449069494
495	0.4446838658
496	0.4435818869
497	0.4429116314
498	0.4427057664
499	0.4422880391
500	0.4415396446
501	0.4410203057
502	0.4403903216
503	0.4403028134
504	0.4398354011
505	0.4395893399
506	0.4388771833
507	0.4380991997
508	0.4374739525
509	0.4369951191
510	0.4362521209
511	0.4357614183
512	0.4351496324
513	0.4345212899
514	0.4339606829
515	0.4337090795
516	0.4331933978
517	0.4326684906
518	0.4320029139
519	0.4314723735
520	0.4308906569
521	0.4302226753
522	0.4298148494
523	0.429289869
524	0.428972904
525	0.428418551
526	0.4280232699
527	0.4276576642
528	0.4270969219
529	0.4265568921
530	0.4257761438
531	0.4254242392
532	0.4248067445
533	0.4241636707
534	0.4237390424
535	0.4233334634
536	0.4228804741
537	0.4225091335
538	0.4220892584
539	0.4217001916
540	0.421145372
541	0.4206408628
542	0.4200806406
543	0.4195939249
544	0.4192537304
545	0.4187084064
546	0.4183701992
547	0.4179782698
548	0.4174645121
549	0.4170577845
550	0.4163630688
551	0.4159438263
552	0.4156469621
553	0.4153066998
554	0.4148221184
555	0.4141455927
556	0.4138012542
557	0.4134396002
558	0.4128820203
559	0.4127791608
560	0.4123356857
561	0.4119498571
562	0.4115735281
563	0.4114819279
564	0.4111012954
565	0.4104169788
566	0.4098504645
567	0.4094150519
568	0.4091732867
569	0.4087223638
570	0.4081729363
571	0.407719914
572	0.4074585907
573	0.4070941
574	0.4065480633
575	0.406005585
576	0.4055212491
577	0.4050120597
578	0.4046932906
579	0.4041438153
580	0.4038437555
581	0.4032645106
582	0.4029246347
583	0.4022529337
584	0.4020362824
585	0.4015539296
586	0.4010825072
587	0.4006823028
588	0.4002349683
589	0.3999543428
590	0.399617202
591	0.3992327538
592	0.3987563759
593	0.3982283886
594	0.3977118462
595	0.3972522835
596	0.3968827996
597	0.3963804009
598	0.3957863606
599	0.3953148058
600	0.3947406908
601	0.3943676353
602	0.3942303345
603	0.393624825
604	0.3929358396
605	0.3925359569
606	0.3921780928
607	0.3917686367
608	0.3912576957
609	0.3909568524
610	0.390565989
611	0.3900114631
612	0.3894658794
613	0.3890949679
614	0.3887169243
615	0.3881563899
616	0.3875583236
617	0.3873662308
618	0.3867324836
619	0.3863332512
620	0.3858447067
621	0.3856593994
622	0.3852494597
623	0.3846821722
624	0.3842707811
625	0.3839306591
626	0.3833857956
627	0.3830834516
628	0.3827742811
629	0.3823939016
630	0.3822222385
631	0.3818569009
632	0.38161081
633	0.3809723844
634	0.3806472661
635	0.3802865995
636	0.3799485852
637	0.3794734983
638	0.3794147135
639	0.3789828383
640	0.3784233095
641	0.378090054
642	0.3779234798
643	0.377363845
644	0.3768401195
645	0.3762427205
646	0.3758628282
647	0.3755362843
648	0.3751484837
649	0.3745707502
650	0.3741981834
651	0.3738078652
652	0.3735282471
653	0.3730419659
654	0.3725208086
655	0.3723273214
656	0.3718537521
657	0.3713554596
658	0.3708409179
659	0.3705007007
660	0.3703451707
661	0.3699913456
662	0.3695706084
663	0.3690270934
664	0.3686630914
665	0.3684070547
666	0.3679575032
667	0.3676073538
668	0.3672082321
669	0.3668160721
670	0.3664358206
671	0.3662453391
672	0.3658119717
673	0.3654539724
674	0.3649204644
675	0.3644576805
676	0.364329324
677	0.3641718958
678	0.3639193531
679	0.363408418
680	0.3630649221
681	0.3626848477
682	0.3623487782
683	0.3619186017
684	0.361587466
685	0.3614046274
686	0.3610192404
687	0.3608155202
688	0.3603886535
689	0.35998611
690	0.3597222664
691	0.3592234681
692	0.3589095586
693	0.3585788704
694	0.3583128609
695	0.3580679985
696	0.3577896198
697	0.3575187476
698	0.3570056335
699	0.3565090968
700	0.3562405335
701	0.3557444426
702	0.3552534976
703	0.354704385
704	0.3541532514
705	0.3538072282
706	0.3533539466
707	0.353052596
708	0.3526333703
709	0.3522815589
710	0.3518560406
711	0.3514627701
712	0.3512765667
713	0.3507019905
714	0.3503975575
715	0.3500661001
716	0.3496343369
717	0.3491376342
718	0.3489286411
719	0.3485827799
720	0.3484192222
721	0.3480359624
722	0.3477361181
723	0.3473159531
724	0.3470081641
725	0.3466820262
726	0.3464085313
727	0.3459106916
728	0.3458391248
729	0.3452241182
730	0.3446607855
731	0.344168036
732	0.3439224688
733	0.3434588765
734	0.3428781049
735	0.3424134419
736	0.3419237987
737	0.3415345618
738	0.3411949212
739	0.340893282
740	0.3405269966
741	0.3401183108
742	0.3397751742
743	0.3394123765
744	0.3389162271
745	0.3388167015
746	0.338349588
747	0.3380665737
748	0.3378111692
749	0.3376117535
750	0.337154786
751	0.3369090178
752	0.3366941597
753	0.336448406
754	0.3363613478
755	0.335843649
756	0.3357285347
757	0.3353757274
758	0.3348580494
759	0.3345323098
760	0.3343120434
761	0.3340437149
762	0.3336562252
763	0.3332483335
764	0.3328935853
765	0.3328553803
766	0.3327046479
767	0.3326644843
768	0.3325016947
769	0.3321891494
770	0.3319745896
771	0.331576641
772	0.3311940862
773	0.3309766092
774	0.3306996558
775	0.3302751561
776	0.3298791629
777	0.3294263084
778	0.3290285999
779	0.3287257971
780	0.3282944151
781	0.3281078536
782	0.3278795362
783	0.3274151646
784	0.3271490433
785	0.3266988336
786	0.3264635606
787	0.3261916212
788	0.3259833103
789	0.3256707812
790	0.3255670747
791	0.3252717798
792	0.3250393601
793	0.3246677756
794	0.3245739496
795	0.3240372496
796	0.3238560962
797	0.3236298023
798	0.3230945612
799	0.3227540902
800	0.322452262
801	0.32222691
802	0.3219907161
803	0.321751879
804	0.3215289514
805	0.3213510432
806	0.3207083663
807	0.3203078483
808	0.3200282073
809	0.3196867125
810	0.3194747539
811	0.3191140913
812	0.3188415967
813	0.3182724151
814	0.3181851568
815	0.3179772275
816	0.3174770064
817	0.3172382655
818	0.3168567829
819	0.316688664
820	0.3164854728
821	0.3161183623
822	0.3158579263
823	0.3154460025
824	0.3149668679
825	0.3145614965
826	0.3140956356
827	0.3138657885
828	0.3135335611
829	0.3132888113
830	0.3127866422
831	0.3125329778
832	0.3122130859
833	0.3116726591
834	0.3113960128
835	0.311102348
836	0.3107193827
837	0.3104943062
838	0.3102809508
839	0.3098365101
840	0.3096695362
841	0.3093901723
842	0.30908647
843	0.3086907081
844	0.3085201707
845	0.307984935
846	0.3077473465
847	0.307462963
848	0.3072712845
849	0.3069429878
850	0.3066084216
851	0.3062615882
852	0.3059662348
853	0.305690527
854	0.3054345734
855	0.304855384
856	0.3045166986
857	0.3043481636
858	0.304159526
859	0.3038634757
860	0.3035998896
861	0.3032915079
862	0.3030678046
863	0.3027947684
864	0.3025651443
865	0.3022165465
866	0.3019956965
867	0.3018843104
868	0.3016435849
869	0.3014260838
870	0.3010678267
871	0.3008513993
872	0.3005761716
873	0.3003418516
874	0.3001609433
875	0.2998529117
876	0.2997437424
877	0.2993667817
878	0.2990900125
879	0.2987171059
880	0.2985824162
881	0.2982928435
882	0.2981029781
883	0.2977542034
884	0.2975117093
885	0.2972132813
886	0.2969201428
887	0.2966393885
888	0.2963813569
889	0.2961321226
890	0.2960318769
891	0.2957130594
892	0.2955429742
893	0.2952689184
894	0.2950638658
895	0.2948156769
896	0.2945566087
897	0.2943491444
898	0.2941628521
899	0.2938776428
900	0.2936228309
901	0.2934797788
902	0.2932282407
903	0.2929951129
904	0.2927205127
905	0.2926618799
906	0.2923118822
907	0.2920198149
908	0.291889466
909	0.2915534493
910	0.291230063
911	0.2910461119
912	0.2908204282
913	0.2904376301
914	0.2900929213
915	0.2897451296
916	0.2895915466
917	0.2893893848
918	0.28911251
919	0.2887690986
920	0.2884320026
921	0.2881996397
922	0.2879135501
923	0.2876734091
924	0.2873193135
925	0.2870514753
926	0.2868736097
927	0.2864495357
928	0.2861554509
929	0.2859987896
930	0.2856591044
931	0.2854857161
932	0.2852590831
933	0.2849936408
934	0.2847738941
935	0.2846326169
936	0.2841409868
937	0.2839402997
938	0.28369717
939	0.2834794435
940	0.2832752025
941	0.2830068846
942	0.2827848889
943	0.2826632309
944	0.2825075764
945	0.2823893395
946	0.2819651024
947	0.2816436488
948	0.2813519587
949	0.2810643693
950	0.2807226109
951	0.2803521006
952	0.2802882197
953	0.2800688231
954	0.2798842518
955	0.2797002115
956	0.2794254855
957	0.2792390644
958	0.2790903099
959	0.2788172664
960	0.2786063423
961	0.2784503724
962	0.2781817866
963	0.2779966512
964	0.2777179663
965	0.2774680955
966	0.2772874647
967	0.2771576278
968	0.2769882397
969	0.2767148227
970	0.2766325525
971	0.2763872448
972	0.2761137069
973	0.2759613935
974	0.2757321258
975	0.2755359559
976	0.2752787062
977	0.2750935142
978	0.2748777399
979	0.2747081167
980	0.2744996528
981	0.2743568478
982	0.2741373013
983	0.2739559681
984	0.2736755126
985	0.2734895925
986	0.2732659864
987	0.2731212926
988	0.2728197081
989	0.2727423096
990	0.2726173567
991	0.2723962138
992	0.2723018109
993	0.2720893796
994	0.2717302331
995	0.2714698279
996	0.2712088957
997	0.2709260353
998	0.2706332911
999	0.2704747429
